Authors,Title,Year,Source title,Volume,Issue,Page start,Cited by,DOI,Affiliations,Abstract,Author Keywords,References,Document Type,Language of Original Document,Publisher,ISSN
Teta D.,Canada and Argentina in subnational governments: evidence from Local government [registro sintetico 055],2022,Nova Economia,1,1,1,4,10.5555/exemplo.0055,"Universidad de Buenos Aires, Buenos Aires, Argentina; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de fiscal equalization, municipal finance em entes subnacionais.",fiscal equalization; municipal finance; subnational debt,"ALFA E., 2017, GESTION Y POLITICA PUBLICA, V45, P264; ALFA C., 2005, NOVA ECONOMIA, V43, P97; KAPA D., 2015, NOVA ECONOMIA, V27, P171; TETA E., 2021, REVISTA DE ADMINISTRACAO PUBLICA, V11, P162; ETA B., 2000, INTERNATIONAL TAX AND PUBLIC FINANCE, V51, P341; KAPA A., 2010, NOVA ECONOMIA, V21, P163; IOTA C., 2017, REVISTA DE ADMINISTRACAO PUBLICA, V22, P82; KAPA E., 2007, JOURNAL OF PUBLIC ECONOMICS, V55, P43; TETA A., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V49, P43; KAPA D., 2021, JOURNAL OF PUBLIC ECONOMICS, V38, P260; ETA F., 2021, NATIONAL TAX JOURNAL, V6, P302; GAMA A., 2004, JOURNAL OF PUBLIC ECONOMICS, V57, P59; KAPA D., 2006, NOVA ECONOMIA, V52, P132",Article,English,Editora Sintetica,01036351
Zeta A.; Alfa D.; Epsilon B.; Beta F.,Municipal finance revisited: State capacity under Brazil [registro sintetico 056],2002,Revista de Administracao Publica,1,1,1,86,10.5555/exemplo.0056,"Universidad de Buenos Aires, Buenos Aires, Argentina; University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de local government, state capacity em entes subnacionais.",local government; state capacity; subnational debt; revenue sharing,"ALFA E., 1999, REVISTA DE ADMINISTRACAO PUBLICA, V48, P380; GAMA C., 1992, GESTION Y POLITICA PUBLICA, V25, P128; EPSILON E., 1973, PUBLIUS: THE JOURNAL OF FEDERALISM, V31, P14; BETA A., 1999, GESTION Y POLITICA PUBLICA, V58, P18; DELTA D., 1991, PUBLIUS: THE JOURNAL OF FEDERALISM, V57, P368; BETA F., 1981, JOURNAL OF PUBLIC ECONOMICS, V54, P312; GAMA B., 1992, GESTION Y POLITICA PUBLICA, V49, P62; GAMA E., 1980, JOURNAL OF PUBLIC ECONOMICS, V11, P84; DELTA D., 1999, GESTION Y POLITICA PUBLICA, V15, P129; EPSILON A., 1979, INTERNATIONAL TAX AND PUBLIC FINANCE, V59, P314; EPSILON A., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V35, P320; TETA B., 1975, PUBLIUS: THE JOURNAL OF FEDERALISM, V59, P241; ZETA F., 1973, NOVA ECONOMIA, V25, P119; TETA D., 1998, REVISTA DE ADMINISTRACAO PUBLICA, V13, P133; GAMA E., 1993, NATIONAL TAX JOURNAL, V36, P163; ETA B., 2001, INTERNATIONAL TAX AND PUBLIC FINANCE, V58, P241; TETA D., 2001, JOURNAL OF PUBLIC ECONOMICS, V37, P189",Article,English,Editora Sintetica,00347612
Kapa C.; Gama C.; Beta C.; Eta A.,The political economy of Municipal finance: Fiscal federalism and the role of Canada [registro sintetico 057],2003,Journal of Public Economics,1,1,1,11,10.5555/exemplo.0057,"Universidad de Buenos Aires, Buenos Aires, Argentina; Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de fiscal capacity, fiscal equalization em entes subnacionais.",fiscal capacity; fiscal equalization; local government,"TETA F., 1984, REVISTA DE ADMINISTRACAO PUBLICA, V50, P351; ZETA D., 2003, NOVA ECONOMIA, V13, P279; GAMA C., 1979, REVISTA DE ADMINISTRACAO PUBLICA, V13, P154; EPSILON F., 1980, NOVA ECONOMIA, V38, P33; ETA A., 1979, REVISTA DE ADMINISTRACAO PUBLICA, V5, P106; IOTA E., 1994, NATIONAL TAX JOURNAL, V49, P122; BETA F., 1982, NATIONAL TAX JOURNAL, V13, P348; KAPA F., 1994, NATIONAL TAX JOURNAL, V18, P26; ETA A., 1981, JOURNAL OF PUBLIC ECONOMICS, V58, P292; ALFA E., 1986, JOURNAL OF PUBLIC ECONOMICS, V58, P364; KAPA E., 1999, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P294; DELTA B., 2001, GESTION Y POLITICA PUBLICA, V15, P53; DELTA A., 1981, REVISTA DE ADMINISTRACAO PUBLICA, V57, P379; IOTA C., 1994, PUBLIUS: THE JOURNAL OF FEDERALISM, V26, P358; ALFA A., 1992, GESTION Y POLITICA PUBLICA, V45, P218; BETA F., 2001, JOURNAL OF PUBLIC ECONOMICS, V33, P76; ETA C., 2000, NOVA ECONOMIA, V2, P14",Article,English,Editora Sintetica,00472727
Kapa E.; Eta B.; Zeta F.; Zeta E.,The political economy of Local government: Canada and the role of Revenue sharing [registro sintetico 058],2025,Revista de Administracao Publica,1,1,1,1,10.5555/exemplo.0058,"Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de subnational debt, regional inequality em entes subnacionais.",subnational debt; regional inequality; local government,"EPSILON E., 2013, REVISTA DE ADMINISTRACAO PUBLICA, V7, P287; TETA D., 2009, REVISTA DE ADMINISTRACAO PUBLICA, V49, P8; ALFA B., 2008, INTERNATIONAL TAX AND PUBLIC FINANCE, V16, P388; ALFA B., 2023, GESTION Y POLITICA PUBLICA, V23, P124; BETA D., 2013, PUBLIUS: THE JOURNAL OF FEDERALISM, V28, P172; TETA A., 2002, NOVA ECONOMIA, V54, P26; TETA E., 2002, NATIONAL TAX JOURNAL, V39, P93; DELTA A., 2003, NATIONAL TAX JOURNAL, V50, P170; BETA C., 2015, NATIONAL TAX JOURNAL, V28, P387; EPSILON A., 2011, GESTION Y POLITICA PUBLICA, V60, P229; DELTA F., 1999, INTERNATIONAL TAX AND PUBLIC FINANCE, V20, P222; ZETA A., 2017, REVISTA DE ADMINISTRACAO PUBLICA, V28, P85; KAPA A., 2010, NATIONAL TAX JOURNAL, V55, P377",Article,English,Editora Sintetica,00347612
Alfa C.; Iota A.,Subnational debt revisited: Fiscal capacity under Tax competition [registro sintetico 059],2020,Nova Economia,1,1,1,6,10.5555/exemplo.0059,"Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de fiscal federalism, fiscal decentralization em entes subnacionais.",fiscal federalism; fiscal decentralization; tax effort; soft budget constraint,"DELTA D., 1990, NOVA ECONOMIA, V15, P339; ETA A., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V6, P275; EPSILON C., 2000, INTERNATIONAL TAX AND PUBLIC FINANCE, V18, P339; ZETA B., 1991, PUBLIUS: THE JOURNAL OF FEDERALISM, V27, P353; ETA A., 1994, NATIONAL TAX JOURNAL, V5, P30; IOTA B., 1998, NOVA ECONOMIA, V7, P196; IOTA F., 2005, JOURNAL OF PUBLIC ECONOMICS, V13, P51; TETA E., 2015, PUBLIUS: THE JOURNAL OF FEDERALISM, V19, P33; KAPA D., 1994, INTERNATIONAL TAX AND PUBLIC FINANCE, V5, P248; ETA B., 2011, NOVA ECONOMIA, V2, P358",Article,English,Editora Sintetica,01036351
Beta A.,Measuring Tax reform across municipalities: Tax effort and Subnational debt [registro sintetico 060],2007,Nova Economia,1,1,1,43,10.5555/exemplo.0060,"University of Toronto, Toronto, Canada; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de revenue sharing, fiscal federalism em entes subnacionais.",revenue sharing; fiscal federalism; regional inequality; fiscal equalization,"GAMA F., 2004, JOURNAL OF PUBLIC ECONOMICS, V46, P60; BETA D., 1979, NOVA ECONOMIA, V15, P2; GAMA A., 2004, JOURNAL OF PUBLIC ECONOMICS, V6, P157; KAPA C., 2004, NOVA ECONOMIA, V51, P287; KAPA D., 2007, NOVA ECONOMIA, V51, P290; IOTA B., 1986, REVISTA DE ADMINISTRACAO PUBLICA, V14, P248; ZETA B., 1988, JOURNAL OF PUBLIC ECONOMICS, V33, P287; KAPA B., 1996, JOURNAL OF PUBLIC ECONOMICS, V43, P258; GAMA E., 1977, PUBLIUS: THE JOURNAL OF FEDERALISM, V28, P341; KAPA B., 1978, REVISTA DE ADMINISTRACAO PUBLICA, V19, P142; BETA F., 1999, PUBLIUS: THE JOURNAL OF FEDERALISM, V50, P192; IOTA D., 1984, NOVA ECONOMIA, V60, P262; IOTA D., 1994, JOURNAL OF PUBLIC ECONOMICS, V19, P206; ALFA C., 1992, JOURNAL OF PUBLIC ECONOMICS, V47, P350; DELTA F., 1991, GESTION Y POLITICA PUBLICA, V23, P364; EPSILON D., 1988, NATIONAL TAX JOURNAL, V49, P185; DELTA B., 2002, PUBLIUS: THE JOURNAL OF FEDERALISM, V42, P377; EPSILON F., 1988, NOVA ECONOMIA, V2, P140; IOTA A., 1987, JOURNAL OF PUBLIC ECONOMICS, V27, P17; ETA E., 1993, NOVA ECONOMIA, V56, P157; DELTA C., 1987, PUBLIUS: THE JOURNAL OF FEDERALISM, V7, P369; GAMA D., 1980, JOURNAL OF PUBLIC ECONOMICS, V13, P139; TETA A., 1999, INTERNATIONAL TAX AND PUBLIC FINANCE, V58, P174; ETA D., 1986, PUBLIUS: THE JOURNAL OF FEDERALISM, V10, P161; GAMA F., 1982, NOVA ECONOMIA, V11, P181; EPSILON A., 2006, NOVA ECONOMIA, V55, P126; ZETA A., 2004, INTERNATIONAL TAX AND PUBLIC FINANCE, V58, P28; ETA D., 1983, INTERNATIONAL TAX AND PUBLIC FINANCE, V50, P192",Article,English,Editora Sintetica,01036351
Epsilon D.,Soft budget constraint and Revenue sharing in subnational governments: evidence from Municipal finance [registro sintetico 061],2017,Publius: The Journal of Federalism,1,1,1,6,10.5555/exemplo.0061,"Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de tax competition, fiscal equalization em entes subnacionais.",tax competition; fiscal equalization; local government; fiscal federalism; regional inequality,"DELTA B., 1987, REVISTA DE ADMINISTRACAO PUBLICA, V44, P294; KAPA B., 1996, NATIONAL TAX JOURNAL, V13, P363; DELTA B., 2002, REVISTA DE ADMINISTRACAO PUBLICA, V50, P295; ZETA A., 1988, REVISTA DE ADMINISTRACAO PUBLICA, V21, P265; KAPA A., 2003, PUBLIUS: THE JOURNAL OF FEDERALISM, V8, P122; DELTA D., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V59, P186; ALFA B., 1990, JOURNAL OF PUBLIC ECONOMICS, V26, P124; ETA B., 1997, REVISTA DE ADMINISTRACAO PUBLICA, V16, P194; ALFA E., 2012, REVISTA DE ADMINISTRACAO PUBLICA, V52, P156; EPSILON D., 2011, NOVA ECONOMIA, V31, P240; ALFA A., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V30, P117; KAPA E., 1992, GESTION Y POLITICA PUBLICA, V39, P241; IOTA D., 1992, GESTION Y POLITICA PUBLICA, V7, P134; TETA A., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V56, P109; ALFA A., 1989, NATIONAL TAX JOURNAL, V12, P189; ALFA D., 2000, REVISTA DE ADMINISTRACAO PUBLICA, V30, P149; ZETA E., 1998, NOVA ECONOMIA, V11, P52; IOTA E., 2002, NATIONAL TAX JOURNAL, V24, P149; IOTA B., 1994, PUBLIUS: THE JOURNAL OF FEDERALISM, V23, P172; KAPA E., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V18, P146; BETA E., 2017, NOVA ECONOMIA, V24, P59; ZETA F., 2004, NOVA ECONOMIA, V21, P71; ZETA F., 2014, NATIONAL TAX JOURNAL, V22, P83; ETA A., 2017, JOURNAL OF PUBLIC ECONOMICS, V15, P206; ALFA B., 2008, INTERNATIONAL TAX AND PUBLIC FINANCE, V43, P273; TETA C., 1999, JOURNAL OF PUBLIC ECONOMICS, V15, P89; TETA B., 2013, JOURNAL OF PUBLIC ECONOMICS, V53, P376",Article,English,Editora Sintetica,00485950
Delta C.; Eta F.; Alfa D.; Iota D.,The political economy of Tax effort: Argentina and the role of Local government [registro sintetico 062],2001,Nova Economia,1,1,1,53,10.5555/exemplo.0062,"Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de tax effort, intergovernmental transfers em entes subnacionais.",tax effort; intergovernmental transfers; fiscal decentralization,"IOTA C., 1980, REVISTA DE ADMINISTRACAO PUBLICA, V35, P69; TETA F., 1990, NATIONAL TAX JOURNAL, V9, P141; EPSILON C., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V35, P316; KAPA B., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V48, P164; KAPA B., 1995, GESTION Y POLITICA PUBLICA, V24, P253; TETA E., 1976, GESTION Y POLITICA PUBLICA, V4, P335; BETA A., 1990, REVISTA DE ADMINISTRACAO PUBLICA, V3, P304; IOTA F., 1975, JOURNAL OF PUBLIC ECONOMICS, V52, P36; GAMA E., 1971, NATIONAL TAX JOURNAL, V40, P118; TETA A., 1997, GESTION Y POLITICA PUBLICA, V45, P233; IOTA B., 1998, INTERNATIONAL TAX AND PUBLIC FINANCE, V13, P161; ZETA E., 1971, INTERNATIONAL TAX AND PUBLIC FINANCE, V22, P191; BETA A., 1971, REVISTA DE ADMINISTRACAO PUBLICA, V47, P62; ALFA B., 1993, JOURNAL OF PUBLIC ECONOMICS, V43, P143; EPSILON F., 1999, NATIONAL TAX JOURNAL, V56, P105; TETA E., 1996, JOURNAL OF PUBLIC ECONOMICS, V36, P3; ALFA F., 1980, INTERNATIONAL TAX AND PUBLIC FINANCE, V20, P47; IOTA D., 1990, REVISTA DE ADMINISTRACAO PUBLICA, V56, P74; ETA F., 1988, PUBLIUS: THE JOURNAL OF FEDERALISM, V25, P234; DELTA B., 1979, JOURNAL OF PUBLIC ECONOMICS, V48, P262; DELTA B., 1993, JOURNAL OF PUBLIC ECONOMICS, V26, P24; DELTA A., 1977, PUBLIUS: THE JOURNAL OF FEDERALISM, V51, P189; TETA E., 1982, REVISTA DE ADMINISTRACAO PUBLICA, V32, P14; KAPA F., 1996, NOVA ECONOMIA, V23, P206; DELTA B., 1982, PUBLIUS: THE JOURNAL OF FEDERALISM, V47, P337; ETA B., 1987, GESTION Y POLITICA PUBLICA, V10, P218; GAMA D., 1987, INTERNATIONAL TAX AND PUBLIC FINANCE, V51, P102; DELTA C., 1989, GESTION Y POLITICA PUBLICA, V58, P49; EPSILON C., 1982, NOVA ECONOMIA, V8, P247",Article,English,Editora Sintetica,01036351
Zeta D.; Alfa C.,The political economy of Fiscal equalization: Revenue sharing and the role of Tax reform [registro sintetico 063],2011,Revista de Administracao Publica,1,1,1,29,10.5555/exemplo.0063,"Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de state capacity, tax reform em entes subnacionais.",state capacity; tax reform; intergovernmental transfers; tax effort,"BETA B., 1994, INTERNATIONAL TAX AND PUBLIC FINANCE, V33, P77; ZETA B., 2001, GESTION Y POLITICA PUBLICA, V28, P199; EPSILON B., 1984, INTERNATIONAL TAX AND PUBLIC FINANCE, V47, P296; DELTA B., 1996, REVISTA DE ADMINISTRACAO PUBLICA, V35, P99; TETA F., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V54, P51; ALFA B., 1995, NATIONAL TAX JOURNAL, V57, P393; KAPA A., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V14, P400; EPSILON F., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V15, P294; GAMA F., 1992, JOURNAL OF PUBLIC ECONOMICS, V7, P246; BETA F., 1986, NOVA ECONOMIA, V20, P79; EPSILON E., 2006, NOVA ECONOMIA, V52, P52; ALFA E., 2008, NATIONAL TAX JOURNAL, V13, P128; DELTA A., 1989, JOURNAL OF PUBLIC ECONOMICS, V54, P45; EPSILON D., 1986, JOURNAL OF PUBLIC ECONOMICS, V1, P154",Article,English,Editora Sintetica,00347612
Zeta B.; Eta A.,Fiscal federalism revisited: Fiscal capacity under Tax competition [registro sintetico 064],2024,Journal of Public Economics,1,1,1,1,10.5555/exemplo.0064,"Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de tax reform, fiscal federalism em entes subnacionais.",tax reform; fiscal federalism; fiscal decentralization,"ETA F., 2023, REVISTA DE ADMINISTRACAO PUBLICA, V26, P115; EPSILON D., 1996, REVISTA DE ADMINISTRACAO PUBLICA, V52, P263; TETA F., 2007, REVISTA DE ADMINISTRACAO PUBLICA, V50, P272; TETA C., 1999, GESTION Y POLITICA PUBLICA, V27, P209; DELTA F., 1995, REVISTA DE ADMINISTRACAO PUBLICA, V14, P237; KAPA B., 2011, REVISTA DE ADMINISTRACAO PUBLICA, V56, P61; BETA F., 2005, PUBLIUS: THE JOURNAL OF FEDERALISM, V1, P7; EPSILON F., 2009, NOVA ECONOMIA, V11, P99; TETA B., 2021, JOURNAL OF PUBLIC ECONOMICS, V28, P365; DELTA B., 2014, PUBLIUS: THE JOURNAL OF FEDERALISM, V43, P2; EPSILON A., 2006, PUBLIUS: THE JOURNAL OF FEDERALISM, V47, P167; IOTA E., 2001, JOURNAL OF PUBLIC ECONOMICS, V5, P66; ALFA F., 1996, JOURNAL OF PUBLIC ECONOMICS, V3, P152; EPSILON E., 2016, GESTION Y POLITICA PUBLICA, V11, P60; BETA F., 2014, NATIONAL TAX JOURNAL, V60, P154; ALFA F., 2023, JOURNAL OF PUBLIC ECONOMICS, V46, P92; KAPA D., 2014, REVISTA DE ADMINISTRACAO PUBLICA, V48, P213; BETA A., 2010, PUBLIUS: THE JOURNAL OF FEDERALISM, V20, P250; TETA D., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V60, P117; ETA B., 2004, PUBLIUS: THE JOURNAL OF FEDERALISM, V42, P365",Article,English,Editora Sintetica,00472727
Iota E.; Epsilon A.; Kapa A.; Teta C.,The political economy of Tax reform: Local government and the role of Tax effort [registro sintetico 065],2023,Gestion y Politica Publica,1,1,1,4,10.5555/exemplo.0065,"University of Toronto, Toronto, Canada; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de intergovernmental transfers, fiscal capacity em entes subnacionais.",intergovernmental transfers; fiscal capacity; tax competition,"KAPA D., 2014, GESTION Y POLITICA PUBLICA, V20, P301; TETA F., 2017, NATIONAL TAX JOURNAL, V7, P56; ETA C., 2009, NOVA ECONOMIA, V53, P10; ETA C., 1997, GESTION Y POLITICA PUBLICA, V31, P46; ALFA A., 1997, REVISTA DE ADMINISTRACAO PUBLICA, V15, P327; BETA A., 2010, INTERNATIONAL TAX AND PUBLIC FINANCE, V39, P266; BETA B., 2002, GESTION Y POLITICA PUBLICA, V27, P226; EPSILON E., 2000, JOURNAL OF PUBLIC ECONOMICS, V54, P25; KAPA F., 1996, REVISTA DE ADMINISTRACAO PUBLICA, V43, P210",Article,English,Editora Sintetica,14054981
Beta A.,Measuring Subnational debt across municipalities: Tax reform and Fiscal federalism [registro sintetico 066],2012,Revista de Administracao Publica,1,1,1,8,10.5555/exemplo.0066,"Universidad Nacional Autonoma de Mexico, Mexico; Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de fiscal decentralization, fiscal equalization em entes subnacionais.",fiscal decentralization; fiscal equalization; soft budget constraint; revenue sharing,"IOTA C., 2002, NOVA ECONOMIA, V33, P44; BETA E., 1997, JOURNAL OF PUBLIC ECONOMICS, V15, P189; BETA C., 1998, GESTION Y POLITICA PUBLICA, V33, P150; EPSILON C., 1989, PUBLIUS: THE JOURNAL OF FEDERALISM, V59, P263; EPSILON E., 2001, INTERNATIONAL TAX AND PUBLIC FINANCE, V28, P239; EPSILON E., 2007, INTERNATIONAL TAX AND PUBLIC FINANCE, V9, P281; GAMA E., 1982, NATIONAL TAX JOURNAL, V17, P361; GAMA C., 1990, NOVA ECONOMIA, V40, P100; ETA D., 1987, NOVA ECONOMIA, V42, P50; EPSILON F., 2007, NATIONAL TAX JOURNAL, V12, P244; IOTA F., 1995, NATIONAL TAX JOURNAL, V58, P98; ETA D., 2003, PUBLIUS: THE JOURNAL OF FEDERALISM, V13, P192; IOTA F., 2002, JOURNAL OF PUBLIC ECONOMICS, V26, P338; KAPA D., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V13, P200; GAMA E., 2006, JOURNAL OF PUBLIC ECONOMICS, V36, P239; ALFA A., 1989, NOVA ECONOMIA, V48, P39; IOTA B., 2008, JOURNAL OF PUBLIC ECONOMICS, V57, P138",Article,English,Editora Sintetica,00347612
Teta C.; Epsilon E.; Zeta B.; Iota F.,Measuring Revenue sharing across municipalities: Argentina and Local government [registro sintetico 067],2024,Revista de Administracao Publica,1,1,1,0,10.5555/exemplo.0067,"Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de intergovernmental transfers, fiscal decentralization em entes subnacionais.",intergovernmental transfers; fiscal decentralization; regional inequality,"EPSILON C., 1996, JOURNAL OF PUBLIC ECONOMICS, V14, P203; ALFA D., 2001, PUBLIUS: THE JOURNAL OF FEDERALISM, V30, P7; TETA F., 2006, GESTION Y POLITICA PUBLICA, V1, P49; DELTA D., 2002, INTERNATIONAL TAX AND PUBLIC FINANCE, V2, P304; BETA D., 2016, PUBLIUS: THE JOURNAL OF FEDERALISM, V38, P342; IOTA A., 2001, PUBLIUS: THE JOURNAL OF FEDERALISM, V19, P110; ALFA C., 2012, NATIONAL TAX JOURNAL, V57, P64; KAPA A., 2014, NOVA ECONOMIA, V38, P357; TETA E., 1998, GESTION Y POLITICA PUBLICA, V26, P80; IOTA D., 2002, JOURNAL OF PUBLIC ECONOMICS, V26, P83; DELTA A., 2016, REVISTA DE ADMINISTRACAO PUBLICA, V51, P399; ZETA E., 2007, INTERNATIONAL TAX AND PUBLIC FINANCE, V52, P149; KAPA F., 2004, NATIONAL TAX JOURNAL, V60, P257; ZETA E., 1997, NATIONAL TAX JOURNAL, V22, P131; EPSILON F., 2002, PUBLIUS: THE JOURNAL OF FEDERALISM, V50, P269; TETA D., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V49, P291; ZETA A., 2016, REVISTA DE ADMINISTRACAO PUBLICA, V12, P59; DELTA F., 2015, NOVA ECONOMIA, V58, P362",Article,English,Editora Sintetica,00347612
Delta D.; Zeta B.,The political economy of Regional inequality: Intergovernmental transfers and the role of Argentina [registro sintetico 068],2005,Nova Economia,1,1,1,22,10.5555/exemplo.0068,"Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de soft budget constraint, fiscal capacity em entes subnacionais.",soft budget constraint; fiscal capacity; tax reform; fiscal federalism,"ETA E., 2005, NATIONAL TAX JOURNAL, V27, P119; GAMA A., 1993, PUBLIUS: THE JOURNAL OF FEDERALISM, V16, P174; EPSILON F., 1990, PUBLIUS: THE JOURNAL OF FEDERALISM, V26, P30; IOTA A., 1985, NATIONAL TAX JOURNAL, V39, P221; DELTA B., 1985, NATIONAL TAX JOURNAL, V2, P49; ALFA D., 2002, GESTION Y POLITICA PUBLICA, V32, P358; TETA C., 2001, NATIONAL TAX JOURNAL, V38, P194; KAPA C., 1975, PUBLIUS: THE JOURNAL OF FEDERALISM, V41, P134; ETA E., 2005, NATIONAL TAX JOURNAL, V32, P278; IOTA D., 1978, PUBLIUS: THE JOURNAL OF FEDERALISM, V7, P208; BETA D., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V52, P259; KAPA A., 1978, NOVA ECONOMIA, V39, P241; EPSILON A., 1994, PUBLIUS: THE JOURNAL OF FEDERALISM, V43, P306; EPSILON F., 2004, NATIONAL TAX JOURNAL, V53, P243; DELTA C., 1993, PUBLIUS: THE JOURNAL OF FEDERALISM, V25, P53; EPSILON F., 1999, REVISTA DE ADMINISTRACAO PUBLICA, V40, P27; ZETA C., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V60, P291; ETA E., 2000, NOVA ECONOMIA, V2, P221; TETA E., 1995, NOVA ECONOMIA, V38, P75; KAPA F., 1990, JOURNAL OF PUBLIC ECONOMICS, V41, P274; ALFA F., 1984, NOVA ECONOMIA, V1, P76; ZETA F., 2003, NOVA ECONOMIA, V4, P392; DELTA A., 2004, NOVA ECONOMIA, V11, P135",Article,English,Editora Sintetica,01036351
Delta F.; Iota E.; Zeta E.; Kapa B.,The political economy of Canada: Fiscal equalization and the role of Soft budget constraint [registro sintetico 069],2009,Publius: The Journal of Federalism,1,1,1,1,10.5555/exemplo.0069,"Universidade de Sao Paulo, Sao Paulo, Brazil; Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de revenue sharing, fiscal capacity em entes subnacionais.",revenue sharing; fiscal capacity; tax effort,"ALFA A., 1984, GESTION Y POLITICA PUBLICA, V54, P1; ETA E., 2000, NOVA ECONOMIA, V5, P168; ZETA A., 1983, PUBLIUS: THE JOURNAL OF FEDERALISM, V9, P156; IOTA F., 1980, REVISTA DE ADMINISTRACAO PUBLICA, V57, P63; TETA E., 2003, INTERNATIONAL TAX AND PUBLIC FINANCE, V32, P62; DELTA B., 2004, JOURNAL OF PUBLIC ECONOMICS, V15, P1; ALFA C., 1982, GESTION Y POLITICA PUBLICA, V12, P396; TETA F., 1995, GESTION Y POLITICA PUBLICA, V52, P168; GAMA B., 1989, NOVA ECONOMIA, V44, P202; GAMA F., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V18, P129; KAPA E., 1984, INTERNATIONAL TAX AND PUBLIC FINANCE, V40, P191; GAMA B., 2001, NOVA ECONOMIA, V2, P345; BETA B., 2003, JOURNAL OF PUBLIC ECONOMICS, V50, P4; EPSILON C., 1982, NOVA ECONOMIA, V19, P396; TETA E., 1984, PUBLIUS: THE JOURNAL OF FEDERALISM, V7, P48; ZETA D., 2007, INTERNATIONAL TAX AND PUBLIC FINANCE, V11, P107; BETA A., 1981, NOVA ECONOMIA, V26, P43; GAMA B., 1993, NOVA ECONOMIA, V4, P210; TETA A., 1979, PUBLIUS: THE JOURNAL OF FEDERALISM, V22, P103; DELTA E., 2004, PUBLIUS: THE JOURNAL OF FEDERALISM, V46, P178; TETA E., 1990, NOVA ECONOMIA, V55, P66; ETA A., 1988, PUBLIUS: THE JOURNAL OF FEDERALISM, V19, P150; BETA B., 1992, JOURNAL OF PUBLIC ECONOMICS, V29, P145",Article,English,Editora Sintetica,00485950
